CodigoCliente;Titulo;PrimeiroNome;UltimoNome;Idade;Sexo;Endereco;Cidade;UFCompleto;CEP;Pais;PaisCompleto;Email;RendaMensal;PercentualUtilizacaoLimite;QtdTransacoesNegadas;AnosDeRelacionamentoBanco;JaUsouChequeEspecial;QtdEmprestimos;NumeroAtendimentos;TMA;IndiceSatisfacao;Saldo;CLTV;CanalPref;Churn;UF;mail_domain
547;Sra.;Evelyn;Correia;54;Feminino;Quadra QNL 13 Bloco C 1260;Taguatinga;Distrito Federal;72151-313;BR;Brazil;EvelynOliveiraCorreia@dayrep.com;5724;0.84;15;11;0;2;36;177;2;689;59;Email;1;DF;dayrep.com
548;Sr.;Victor;Ribeiro;38;Masculino;Alameda das Íris 1541;Fortaleza;Ceará;60190-520;BR;Brazil;VictorAraujoRibeiro@armyspy.com;4759;0.91;0;17;0;1;21;174;3;142;86;SMS;1;CE;armyspy.com
549;Sr.;Cauã;Fernandes;41;Masculino;Rua Pai Joaquim 473;Nova Iguaçu;Rio de Janeiro;26281-030;BR;Brazil;CauaMartinsFernandes@armyspy.com;3512;0.35;1;16;0;0;3;4;5;2808;74;SMS;0;RJ;armyspy.com
550;Dr.;Maria;Fernandes;23;Feminino;Rua Padre Cícero 1982;Paragominas;Pará;68625-490;BR;Brazil;MariaCunhaFernandes@jourrapide.com;5797;0.85;0;14;0;5;49;141;3;6919;64;Email;1;PA;jourrapide.com
551;Sr.;Arthur;Dias;35;Masculino;Rua Comandante Gaudêncio 283;São Luís;Maranhão;65045-220;BR;Brazil;ArthurAzevedoDias@dayrep.com;4090;0.87;0;7;0;1;40;66;2;2930;32;SMS;1;MA;dayrep.com
552;Sra.;Isabela;Santos;31;Feminino;Rua Júlio Vieira de Andrade 1841;Aracaju;Sergipe;49038-120;BR;Brazil;IsabelaFerreiraSantos@superrito.com;6065;0.86;9;10;0;1;41;101;3;5633;40;Ligacao;1;SE;superrito.com
553;Sr.;Cauã;Correia;50;Masculino;Rua Veiga 1045;Foz do Iguaçu;Paraná;85867-640;BR;Brazil;CauaRodriguesCorreia@jourrapide.com;7663;0.31;14;15;1;3;2;4;4;8487;73;Ligacao;0;PR;jourrapide.com
554;Sra.;Bianca;Pereira;59;Feminino;Rua São Felan 425;Rio de Janeiro;Rio de Janeiro;22630-170;BR;Brazil;BiancaRodriguesPereira@teleworm.us;6026;1.0;11;19;0;0;16;101;0;6909;79;SMS;1;RJ;teleworm.us
555;Sr.;Cauã;Azevedo;20;Masculino;Rua Catu 691;São Paulo;São Paulo;08440-330;BR;Brazil;CauaAraujoAzevedo@dayrep.com;9412;0.07;4;9;0;2;2;6;4;287;70;Push;0;SP;dayrep.com
556;Sr.;Lucas;Almeida;42;Masculino;Rua Luzivaldo Barbosa Marques 831;Arapiraca;Alagoas;57301-380;BR;Brazil;LucasCorreiaAlmeida@dayrep.com;7958;0.82;14;2;1;1;28;125;0;1307;90;Email;1;AL;dayrep.com
557;Sra.;Vitoria;Pereira;60;Feminino;Praça José Discola 1989;Campinas;São Paulo;13035-361;BR;Brazil;VitoriaRochaPereira@jourrapide.com;8228;0.11;2;20;0;3;3;7;5;7426;64;SMS;0;SP;jourrapide.com
558;Sr.;Felipe;Ribeiro;18;Masculino;Rua Francisco de Paula Souza 642;Campo Grande;Mato Grosso do Sul;79042-390;BR;Brazil;FelipeCostaRibeiro@teleworm.us;9506;0.86;10;6;1;0;38;93;2;2048;63;Email;1;MS;teleworm.us
559;Sr.;Breno;Souza;29;Masculino;Rua Estados Unidos 975;Cuiabá;Mato Grosso;78040-160;BR;Brazil;BrenoAraujoSouza@jourrapide.com;5748;1.0;4;9;0;3;47;153;1;5123;62;Ligacao;1;MT;jourrapide.com
560;Sr.;Bruno;Ferreira;66;Masculino;Rua Marginal 1220;Pato Branco;Paraná;85503-400;BR;Brazil;BrunoSilvaFerreira@teleworm.us;7940;0.5;12;19;1;0;3;1;5;2321;48;Email;0;PR;teleworm.us
561;Sr.;Alex;Martins;45;Masculino;Praça Democracia Popular 82;São Paulo;São Paulo;05797-460;BR;Brazil;AlexGoncalvesMartins@cuvox.de;4120;1.0;13;16;0;1;26;182;0;9238;76;Email;1;SP;cuvox.de
562;Sra.;Bianca;Ribeiro;29;Feminino;Rua Maurício Araújo Martins 1240;São Paulo;São Paulo;08020-130;BR;Brazil;BiancaPintoRibeiro@jourrapide.com;8264;0.82;10;18;1;0;11;182;2;9928;66;SMS;1;SP;jourrapide.com
563;Sra.;Leonor;Correia;28;Feminino;Praça Duque de Caxias 583;Petrópolis;Rio de Janeiro;25660-010;BR;Brazil;LeonorSouzaCorreia@dayrep.com;9338;0.08;15;1;0;2;2;0;5;2055;71;Ligacao;0;RJ;dayrep.com
564;Sr.;Luís;Costa;64;Masculino;Rua Guia Lobo 1083;Belo Horizonte;Minas Gerais;30620-450;BR;Brazil;LuisFerreiraCosta@jourrapide.com;7660;0.82;12;14;1;5;19;52;2;1191;40;Ligacao;1;MG;jourrapide.com
565;Sra.;Sofia;Carvalho;48;Feminino;Rua Aurílio Braga 381;São Paulo;São Paulo;04849-020;BR;Brazil;SofiaFerreiraCarvalho@gustr.com;5322;0.12;11;10;0;3;3;6;5;4083;74;Push;0;SP;gustr.com
566;Sra.;Amanda;Castro;33;Feminino;Rua BV 25 2000;Goiânia;Goiás;74477-426;BR;Brazil;AmandaRochaCastro@cuvox.de;8120;0.46;13;12;0;4;3;8;5;4638;55;Email;0;GO;cuvox.de
567;Sr.;Kauan;Barbosa;25;Masculino;Rua Prefeito Mota Sobrinho 753;Duque de Caxias;Rio de Janeiro;25010-395;BR;Brazil;KauanGomesBarbosa@superrito.com;4715;0.11;3;9;1;4;2;7;4;7297;33;Ligacao;0;RJ;superrito.com
568;Sra.;Rebeca;Almeida;48;Feminino;Travessa Itacoatiara 3;Campo Grande;Mato Grosso do Sul;79083-585;BR;Brazil;RebecaBarbosaAlmeida@cuvox.de;7901;0.33;13;9;0;3;2;6;4;9813;56;Push;0;MS;cuvox.de
569;Sra.;Maria;Pinto;33;Feminino;Rua Nércio Xavier 99;Cachoeirinha;Rio Grande do Sul;94930-420;BR;Brazil;MariaRodriguesPinto@fleckens.hu;3472;0.38;11;1;1;4;2;8;5;5385;43;Email;0;RS;fleckens.hu
570;Sra.;Lavinia;Melo;47;Feminino;Rua Juvenal Dias Garcez 1216;Curitiba;Paraná;82950-320;BR;Brazil;LaviniaBarbosaMelo@fleckens.hu;5167;0.22;7;5;0;3;1;0;4;4752;45;Push;0;PR;fleckens.hu
571;Sr.;Samuel;Dias;47;Masculino;Rua Andiroba 1081;Manaus;Amazonas;69093-142;BR;Brazil;SamuelAzevedoDias@jourrapide.com;8542;0.92;7;2;1;0;19;178;1;9452;81;Ligacao;1;AM;jourrapide.com
572;Sra.;Eduarda;Dias;51;Feminino;Rua Gonçalo Pacheco 1207;Caraguatatuba;São Paulo;11674-355;BR;Brazil;EduardaSousaDias@einrot.com;6647;0.82;6;5;0;4;34;144;2;1923;63;Email;1;SP;einrot.com
573;Sr.;João;Cardoso;61;Masculino;Rua Alto da Boa Esperança 113;Salvador;Bahia;40355-030;BR;Brazil;JoaoPereiraCardoso@superrito.com;9635;0.89;0;14;0;4;23;67;0;9152;86;Ligacao;1;BA;superrito.com
574;Sra.;Clara;Pereira;56;Feminino;Alameda dos Guainumbis 1546;São Paulo;São Paulo;04067-002;BR;Brazil;ClaraCastroPereira@cuvox.de;4578;0.8;9;10;0;0;42;170;1;2693;64;Email;1;SP;cuvox.de
575;Sra.;Ana;Dias;62;Feminino;Rua Maria Elizabeth Schicker 1558;São José dos Campos;São Paulo;12246-090;BR;Brazil;AnaRibeiroDias@dayrep.com;3068;0.11;3;15;0;1;2;5;5;7717;51;Push;0;SP;dayrep.com
576;Sra.;Lavinia;Goncalves;47;Feminino;Rua José Airton de Andrade 1919;Bauru;São Paulo;17057-291;BR;Brazil;LaviniaOliveiraGoncalves@dayrep.com;8978;0.99;3;9;1;3;21;37;1;8381;65;Ligacao;1;SP;dayrep.com
577;Sr.;João;Almeida;57;Masculino;Rua Dom Antônio Lustosa 1660;Fortaleza;Ceará;60862-070;BR;Brazil;JoaoGoncalvesAlmeida@teleworm.us;8676;0.82;8;2;1;0;16;131;2;3002;46;Email;1;CE;teleworm.us
578;Sr.;Kauã;Almeida;53;Masculino;Alameda Itália Fausta 1262;Duque de Caxias;Rio de Janeiro;25230-550;BR;Brazil;KauaCarvalhoAlmeida@gustr.com;9222;0.99;3;10;0;1;38;141;2;2417;49;Ligacao;1;RJ;gustr.com
579;Sra.;Sofia;Dias;29;Feminino;Travessa Ilma 926;Nilópolis;Rio de Janeiro;26525-220;BR;Brazil;SofiaSilvaDias@teleworm.us;6741;0.22;5;8;0;2;3;7;5;4770;49;SMS;0;RJ;teleworm.us
580;Sr.;Pedro;Melo;33;Masculino;Rua Madre Joana Angélica de Jesus 841;Manaus;Amazonas;69040-020;BR;Brazil;PedroCarvalhoMelo@einrot.com;8906;0.0;8;11;0;4;2;7;5;1111;36;Ligacao;0;AM;einrot.com
581;Sr.;Thiago;Ferreira;33;Masculino;Rua 40 1593;Barretos;São Paulo;14783-203;BR;Brazil;ThiagoFernandesFerreira@superrito.com;9784;0.17;7;4;1;2;1;0;5;7294;74;SMS;0;SP;superrito.com
582;Sr.;Samuel;Fernandes;65;Masculino;Rua Antônio Calheiros 1918;São Paulo;São Paulo;04185-130;BR;Brazil;SamuelMartinsFernandes@superrito.com;6839;1.0;9;8;1;1;24;36;1;4358;87;Ligacao;1;SP;superrito.com
583;Sr.;Kaua;Castro;27;Masculino;Rua Roberto Paschoal Borgatto 1434;Sertãozinho;São Paulo;14164-025;BR;Brazil;KauaPintoCastro@gustr.com;6513;0.1;12;13;0;4;3;2;4;8846;60;Email;0;SP;gustr.com
584;Sr.;Luiz;Pinto;59;Masculino;Avenida Itararé 1490;Teresina;Piauí;64081-020;BR;Brazil;LuizAlvesPinto@dayrep.com;3538;0.09;10;3;0;2;3;6;5;2095;67;Push;0;PI;dayrep.com
585;Sra.;Eduarda;Barbosa;51;Feminino;Rua Borborema 1226;Belo Horizonte;Minas Gerais;31130-380;BR;Brazil;EduardaRochaBarbosa@fleckens.hu;5534;0.18;15;17;1;0;2;5;4;5570;83;Email;0;MG;fleckens.hu
586;Sr.;Estevan;Araujo;37;Masculino;Estrada da Olaria 1742;São Paulo;São Paulo;04476-630;BR;Brazil;EstevanRibeiroAraujo@teleworm.us;8471;0.11;13;3;0;3;1;4;5;5119;41;Ligacao;0;SP;teleworm.us
587;Sra.;Laura;Gomes;40;Feminino;Travessa dos Paralelos 1638;São Paulo;São Paulo;04857-510;BR;Brazil;LauraFernandesGomes@armyspy.com;8445;0.01;2;15;1;4;3;5;4;2297;90;Email;0;SP;armyspy.com
588;Sr.;Leonardo;Cunha;61;Masculino;Rua de Pinedo 1059;São Bernardo do Campo;São Paulo;09720-270;BR;Brazil;LeonardoAzevedoCunha@einrot.com;6530;0.31;13;15;0;0;3;8;5;8904;90;SMS;0;SP;einrot.com
589;Sra.;Leonor;Dias;32;Feminino;Quadra QA 019 1681;Planaltina de Goiás;Goiás;73751-219;BR;Brazil;LeonorRochaDias@fleckens.hu;5517;0.43;3;12;0;3;2;2;4;1954;74;SMS;0;GO;fleckens.hu
590;Sr.;Nicolas;Pereira;54;Masculino;Rua Mangueiras 892;Ipatinga;Minas Gerais;35162-458;BR;Brazil;NicolasRibeiroPereira@gustr.com;9939;0.42;2;13;0;1;3;3;4;4185;40;Email;0;MG;gustr.com
591;Sr.;Nicolas;Araujo;33;Masculino;Quadra QE 32 Conjunto E 29;Guará;Distrito Federal;71065-051;BR;Brazil;NicolasCastroAraujo@teleworm.us;5806;1.0;12;4;1;3;32;74;3;4564;43;SMS;1;DF;teleworm.us
592;Sra.;Beatrice;Azevedo;22;Feminino;Rua Petrópolis 1574;Uberlândia;Minas Gerais;38405-218;BR;Brazil;BeatricePereiraAzevedo@gustr.com;6647;0.49;5;15;0;0;1;6;5;6784;78;Email;0;MG;gustr.com
593;Sra.;Raissa;Ferreira;57;Feminino;Praça Vinte e Nove de Abril 12;Timóteo;Minas Gerais;35182-004;BR;Brazil;RaissaAlmeidaFerreira@fleckens.hu;3348;0.34;11;20;0;1;2;4;5;9711;65;SMS;0;MG;fleckens.hu
594;Sra.;Luana;Souza;27;Feminino;Rua Quatro 845;Jundiaí;São Paulo;13218-698;BR;Brazil;LuanaFerreiraSouza@dayrep.com;5326;0.2;9;16;0;1;3;6;4;1379;65;Ligacao;0;SP;dayrep.com
595;Sra.;Anna;Rocha;62;Feminino;Rua Sebastiana Vieira Borges 205;Vitória;Espírito Santo;29072-640;BR;Brazil;AnnaSousaRocha@superrito.com;6714;1.0;14;15;1;2;17;55;2;3809;31;Push;1;ES;superrito.com
596;Sra.;Beatriz;Souza;22;Feminino;Rua Planaltina 1386;Nova Iguaçu;Rio de Janeiro;26021-551;BR;Brazil;BeatrizCostaSouza@teleworm.us;8539;0.85;3;16;0;1;45;150;2;3847;36;SMS;1;RJ;teleworm.us
597;Sra.;Thaís;Correia;20;Feminino;Rua Gercino Quaresma 1783;Caruaru;Pernambuco;55038-190;BR;Brazil;ThaisRodriguesCorreia@jourrapide.com;6529;0.86;13;13;0;1;34;45;2;3013;37;Ligacao;1;PE;jourrapide.com
598;Sr.;Tiago;Dias;46;Masculino;Rua Itapeacu 536;Rio de Janeiro;Rio de Janeiro;21071-450;BR;Brazil;TiagoCunhaDias@jourrapide.com;5270;0.35;4;9;0;2;2;5;5;1804;62;Ligacao;0;RJ;jourrapide.com
599;Sra.;Júlia;Azevedo;65;Feminino;Rua Antônio Erbs 989;Brusque;Santa Catarina;88352-630;BR;Brazil;JuliaLimaAzevedo@gustr.com;4120;0.98;11;0;0;4;45;57;3;4085;66;Ligacao;1;SC;gustr.com
600;Sr.;Alex;Oliveira;32;Masculino;Rua Giuliano Costa Garelha 1005;Jacareí;São Paulo;12324-774;BR;Brazil;AlexSilvaOliveira@rhyta.com;6502;1.0;13;14;1;0;48;137;3;4629;83;SMS;1;SP;rhyta.com
601;Sr.;Kauan;Barbosa;54;Masculino;Rua Padre Capistrano 108;Recife;Pernambuco;52031-100;BR;Brazil;KauanCardosoBarbosa@einrot.com;3109;0.84;15;6;0;3;41;186;2;1104;56;Ligacao;1;PE;einrot.com
602;Sra.;Emily;Cardoso;57;Feminino;Rua Ovídio Mendonça 1425;João Pessoa;Paraíba;58043-210;BR;Brazil;EmilyLimaCardoso@superrito.com;3754;0.18;9;8;0;2;3;1;4;155;90;Email;0;PB;superrito.com
603;Sr.;Danilo;Martins;37;Masculino;Rua 16 1614;Rio de Janeiro;Rio de Janeiro;23580-490;BR;Brazil;DaniloLimaMartins@gustr.com;5426;0.5;6;7;1;1;2;7;5;6622;89;Ligacao;0;RJ;gustr.com
604;Sr.;Arthur;Melo;65;Masculino;Rua Justino Leitão 122;São Gonçalo;Rio de Janeiro;24431-305;BR;Brazil;ArthurCavalcantiMelo@einrot.com;7288;1.0;2;18;0;1;44;76;3;2086;42;Ligacao;1;RJ;einrot.com
605;Sra.;Nicole;Souza;64;Feminino;Rua Bolívia 1069;Colatina;Espírito Santo;29709-346;BR;Brazil;NicoleAzevedoSouza@superrito.com;8040;0.18;11;11;0;1;2;0;4;3733;57;Push;0;ES;superrito.com
606;Sra.;Lavinia;Martins;20;Feminino;Rua Bailarina Maria 728;Rio de Janeiro;Rio de Janeiro;22725-405;BR;Brazil;LaviniaAzevedoMartins@superrito.com;4403;0.88;9;4;0;4;41;108;2;2520;53;Push;1;RJ;superrito.com
607;Sra.;Julia;Correia;43;Feminino;Rua Capitão Adolfo Germano de Andrade 837;Itajaí;Santa Catarina;88304-020;BR;Brazil;JuliaAzevedoCorreia@jourrapide.com;8994;0.31;3;7;0;1;2;5;5;6027;39;Email;0;SC;jourrapide.com
608;Sr.;Luis;Dias;19;Masculino;Rua Professor Milton Sullivan 269;Florianópolis;Santa Catarina;88040-620;BR;Brazil;LuisCastroDias@rhyta.com;6458;0.84;4;3;1;1;15;166;1;3171;71;Email;1;SC;rhyta.com
609;Sra.;Fernanda;Ribeiro;53;Feminino;Rua Coronel Augusto Rocha 663;Sousa;Paraíba;58803-430;BR;Brazil;FernandaSilvaRibeiro@armyspy.com;5477;0.47;2;8;0;5;3;2;5;1543;34;Push;0;PB;armyspy.com
610;Sra.;Amanda;Cardoso;60;Feminino;Rua 12 1456;Anápolis;Goiás;75045-330;BR;Brazil;AmandaAzevedoCardoso@dayrep.com;9460;0.88;14;8;0;3;22;151;3;4800;45;SMS;1;GO;dayrep.com
611;Sr.;Fábio;Alves;48;Masculino;Rua Rio Capivari 736;Ponta Grossa;Paraná;84020-480;BR;Brazil;FabioFernandesAlves@cuvox.de;8834;0.42;2;11;0;5;1;4;4;9544;83;Email;0;PR;cuvox.de
612;Sr.;Bruno;Martins;18;Masculino;Quadra EQNP 05/09 Módulo A 1501;Ceilândia;Distrito Federal;72240-531;BR;Brazil;BrunoRodriguesMartins@teleworm.us;4636;0.04;15;9;0;3;3;4;5;4593;43;Push;0;DF;teleworm.us
613;Sr.;Arthur;Pereira;26;Masculino;Quadra SMPW Quadra 01 Conjunto 02 1769;Núcleo Bandeirante;Distrito Federal;71735-102;BR;Brazil;ArthurRochaPereira@dayrep.com;7920;0.36;4;17;1;0;1;2;5;8559;38;Push;0;DF;dayrep.com
614;Sr.;Davi;Correia;39;Masculino;Rua Sebastião Francisco 280;São Paulo;São Paulo;05662-070;BR;Brazil;DaviBarbosaCorreia@jourrapide.com;8551;0.08;0;16;0;3;3;5;4;4044;77;Push;0;SP;jourrapide.com
615;Sr.;Kauan;Dias;38;Masculino;Rua Izalda Ourique de Oliveira 529;Campo Grande;Mato Grosso do Sul;79032-460;BR;Brazil;KauanGoncalvesDias@dayrep.com;4930;0.81;9;4;0;1;43;126;1;9958;66;Ligacao;1;MS;dayrep.com
616;Sra.;Brenda;Goncalves;50;Feminino;Rua Mário Danton Leitao 482;Caxias do Sul;Rio Grande do Sul;95088-200;BR;Brazil;BrendaOliveiraGoncalves@einrot.com;5596;0.14;4;11;0;4;1;5;5;5317;42;Email;0;RS;einrot.com
617;Sr.;Kaua;Cunha;26;Masculino;Avenida Quinze-A 845;Ituiutaba;Minas Gerais;38300-138;BR;Brazil;KauaDiasCunha@cuvox.de;3443;0.03;13;13;1;3;1;5;4;1200;88;Push;0;MG;cuvox.de
618;Sr.;Julian;Cavalcanti;36;Masculino;Avenida Carlos Arcoverde 1121;São Paulo;São Paulo;04956-000;BR;Brazil;JulianCastroCavalcanti@teleworm.us;4314;1.0;2;10;0;5;42;65;3;4970;75;Push;1;SP;teleworm.us
619;Sra.;Julia;Dias;58;Feminino;Travessa Almeida 1872;Salvador;Bahia;40353-460;BR;Brazil;JuliaCastroDias@einrot.com;8411;0.5;10;8;0;1;1;5;5;6669;48;SMS;0;BA;einrot.com
620;Sra.;Gabrielly;Santos;29;Feminino;Rua Noventa e Um 1602;Ribeirão das Neves;Minas Gerais;33826-178;BR;Brazil;GabriellyRodriguesSantos@gustr.com;8590;0.16;11;15;0;1;1;0;4;1358;40;Push;0;MG;gustr.com
621;Sra.;Eduarda;Souza;24;Feminino;Rua Iracui 732;Vila Velha;Espírito Santo;29102-520;BR;Brazil;EduardaSilvaSouza@armyspy.com;5870;0.35;1;11;0;1;1;5;5;6240;81;Push;0;ES;armyspy.com
622;Sra.;Eduarda;Pinto;28;Feminino;Rua 11 JW 1546;Rio Claro;São Paulo;13503-670;BR;Brazil;EduardaFerreiraPinto@einrot.com;4539;0.95;7;7;0;4;39;108;1;4446;50;Email;1;SP;einrot.com
623;Sr.;André;Silva;43;Masculino;Rua Luiz Vaz de Camões 245;Diadema;São Paulo;09940-340;BR;Brazil;AndreCostaSilva@teleworm.us;8262;0.97;3;10;0;5;38;82;1;3655;71;Email;1;SP;teleworm.us
624;Sra.;Júlia;Cunha;21;Feminino;Rua Trinta 1956;Sumaré;São Paulo;13178-416;BR;Brazil;JuliaCostaCunha@teleworm.us;3008;0.24;14;13;0;4;2;4;4;1097;38;Push;0;SP;teleworm.us
625;Sr.;Lucas;Cunha;52;Masculino;Rua Arthur Fernandes de Oliveira 452;Ribeirão Preto;São Paulo;14094-094;BR;Brazil;LucasLimaCunha@einrot.com;9807;0.24;0;1;0;5;3;8;4;2859;48;Push;0;SP;einrot.com
626;Sra.;Nicole;Araujo;61;Feminino;Rua Américo Curvelo 1204;Aracaju;Sergipe;49025-020;BR;Brazil;NicoleAlmeidaAraujo@gustr.com;4986;0.26;8;12;1;0;3;6;5;3477;65;SMS;0;SE;gustr.com
627;Sr.;Victor;Oliveira;25;Masculino;Rua Cláudio de Souza Ferreira 1186;Itajaí;Santa Catarina;88306-821;BR;Brazil;VictorGomesOliveira@armyspy.com;3335;0.98;9;15;0;5;18;111;2;1956;53;Email;1;SC;armyspy.com
628;Sra.;Camila;Sousa;27;Feminino;Rua Engenheiro Cláudio Belém 1213;Recife;Pernambuco;50690-010;BR;Brazil;CamilaSantosSousa@rhyta.com;6213;1.0;14;16;0;3;27;147;2;8988;83;SMS;1;PE;rhyta.com
629;Sr.;Eduardo;Sousa;19;Masculino;Rua Itabi 1620;Poá;São Paulo;08555-220;BR;Brazil;EduardoDiasSousa@rhyta.com;9678;0.02;2;15;0;2;3;2;5;4977;39;SMS;0;SP;rhyta.com
630;Sr.;Paulo;Gomes;41;Masculino;Rua Tarumã 166;Lages;Santa Catarina;88516-200;BR;Brazil;PauloFernandesGomes@einrot.com;8531;0.99;12;5;0;0;21;103;0;2385;84;Email;1;SC;einrot.com
631;Sr.;Fábio;Martins;44;Masculino;Rua Jornalista Arlindo Cardoso 505;Anápolis;Goiás;75023-020;BR;Brazil;FabioPereiraMartins@cuvox.de;5092;0.84;5;17;1;0;47;134;2;1266;57;Push;1;GO;cuvox.de
632;Sr.;Samuel;Correia;55;Masculino;Rua Jornalista Cândido de Oliveira 287;Rio de Janeiro;Rio de Janeiro;23082-230;BR;Brazil;SamuelLimaCorreia@armyspy.com;4022;0.85;9;1;0;4;13;105;2;2184;63;SMS;1;RJ;armyspy.com
633;Sra.;Ágatha;Almeida;63;Feminino;Rua Maria Gomes 1751;São Gonçalo;Rio de Janeiro;24474-795;BR;Brazil;AgathaMeloAlmeida@dayrep.com;3859;1.0;12;18;0;5;18;193;1;2416;50;Email;1;RJ;dayrep.com
634;Sr.;Arthur;Araujo;26;Masculino;Rua Alantejo 992;São José;Santa Catarina;88107-352;BR;Brazil;ArthurGoncalvesAraujo@teleworm.us;4139;0.85;6;10;1;4;31;161;2;2711;64;Email;1;SC;teleworm.us
635;Sra.;Emily;Azevedo;31;Feminino;Rua Projetada Três 1924;Lençóis Paulista;São Paulo;18685-800;BR;Brazil;EmilyMeloAzevedo@jourrapide.com;7834;0.23;7;16;0;5;2;1;5;4769;34;SMS;0;SP;jourrapide.com
636;Sra.;Ana;Souza;27;Feminino;Rua Esmeralda 326;Palmas;Tocantins;77066-056;BR;Brazil;AnaRodriguesSouza@gustr.com;3252;0.22;3;2;0;5;1;2;5;5212;80;Ligacao;0;TO;gustr.com
637;Sr.;Murilo;Souza;47;Masculino;Rua Pombos 693;Jaboatão dos Guararapes;Pernambuco;54380-322;BR;Brazil;MuriloMeloSouza@gustr.com;8782;0.0;13;3;0;3;1;1;4;1754;61;SMS;0;PE;gustr.com
638;Sr.;Rodrigo;Rodrigues;32;Masculino;Rua Narciso Vieira 1151;Passo Fundo;Rio Grande do Sul;99036-655;BR;Brazil;RodrigoPereiraRodrigues@cuvox.de;6794;0.91;6;8;0;5;25;129;0;1015;88;Push;1;RS;cuvox.de
639;Sra.;Brenda;Oliveira;21;Feminino;Travessa Rio Norte 132;Natal;Rio Grande do Norte;59050-095;BR;Brazil;BrendaCostaOliveira@gustr.com;9581;1.0;8;19;0;2;47;150;3;8501;63;Ligacao;1;RN;gustr.com
640;Sra.;Matilde;Souza;28;Feminino;Quadra 404 Sul Avenida NS 2 84;Palmas;Tocantins;77021-644;BR;Brazil;MatildeLimaSouza@teleworm.us;8365;0.89;7;8;0;4;43;167;0;2800;34;Push;1;TO;teleworm.us
641;Sr.;Davi;Barbosa;22;Masculino;Rua D 1537;Itapeva;São Paulo;18410-310;BR;Brazil;DaviCardosoBarbosa@armyspy.com;8843;1.0;14;3;0;1;16;175;0;2508;75;Ligacao;1;SP;armyspy.com
642;Sr.;Luís;Azevedo;44;Masculino;Passagem Lauro Pessoa 1715;Belém;Pará;66073-340;BR;Brazil;LuisSousaAzevedo@rhyta.com;9844;0.35;15;17;0;1;1;0;5;959;87;Push;0;PA;rhyta.com
643;Sra.;Camila;Araujo;30;Feminino;Rua Acará 1673;Jaboatão dos Guararapes;Pernambuco;54280-101;BR;Brazil;CamilaFernandesAraujo@jourrapide.com;8723;0.05;6;20;0;4;2;2;4;3228;71;Ligacao;0;PE;jourrapide.com
644;Sr.;Daniel;Sousa;43;Masculino;Quadra SHIS QI 13 Conjunto 04 39;Lago Sul;Distrito Federal;71635-040;BR;Brazil;DanielMeloSousa@cuvox.de;9731;0.24;15;16;1;2;1;3;5;1096;49;SMS;0;DF;cuvox.de
645;Sr.;Erick;Araujo;32;Masculino;Rua Cedro 764;São Paulo;São Paulo;08382-420;BR;Brazil;ErickCastroAraujo@gustr.com;5565;1.0;2;15;0;5;14;72;0;8752;78;Email;1;SP;gustr.com
646;Sr.;Arthur;Sousa;39;Masculino;Rua 7 997;Manaus;Amazonas;69086-460;BR;Brazil;ArthurOliveiraSousa@dayrep.com;6621;1.0;3;16;0;4;14;47;3;3122;61;Ligacao;1;AM;dayrep.com
647;Sra.;Gabrielly;Gomes;63;Feminino;Acesso Quatro 596;Porto Alegre;Rio Grande do Sul;91755-280;BR;Brazil;GabriellyCarvalhoGomes@jourrapide.com;6102;0.43;1;12;0;4;3;3;5;4578;64;Push;0;RS;jourrapide.com
648;Sra.;Carolina;Silva;62;Feminino;Rua Olímpio P. de Oliveira 1282;Santa Bárbara D'Oeste;São Paulo;13450-074;BR;Brazil;CarolinaAlvesSilva@rhyta.com;9256;0.5;15;14;1;3;1;3;5;3211;83;Email;0;SP;rhyta.com
649;Sr.;Renan;Oliveira;38;Masculino;Rua Ribeira do Pombal 1727;Vitória da Conquista;Bahia;45065-440;BR;Brazil;RenanPereiraOliveira@jourrapide.com;5044;0.27;7;18;1;4;2;8;5;222;54;SMS;0;BA;jourrapide.com
650;Sr.;Alex;Ribeiro;30;Masculino;Praça Florival Barletta 801;Santos;São Paulo;11085-610;BR;Brazil;AlexCavalcantiRibeiro@dayrep.com;6638;0.83;2;0;0;5;13;136;3;2378;75;Ligacao;1;SP;dayrep.com
651;Sr.;Breno;Ribeiro;60;Masculino;Rua Malv. C. S. Oliveira 1959;Bagé;Rio Grande do Sul;96405-560;BR;Brazil;BrenoGoncalvesRibeiro@cuvox.de;8603;0.46;15;13;0;2;3;4;4;3143;44;Email;0;RS;cuvox.de
652;Sra.;Vitória;Pereira;27;Feminino;Quadra CLS 114 Bloco B 1005;Brasília;Distrito Federal;70377-520;BR;Brazil;VitoriaRodriguesPereira@einrot.com;5322;0.07;7;1;0;2;2;0;4;7025;58;Push;0;DF;einrot.com
653;Sra.;Carla;Santos;45;Feminino;Rua Teisuke Kumassaka 1496;Lins;São Paulo;16400-637;BR;Brazil;CarlaCardosoSantos@dayrep.com;3558;0.45;5;19;0;4;3;5;4;8480;66;SMS;0;SP;dayrep.com
654;Sra.;Julia;Santos;24;Feminino;Rua Enguias 1150;Foz do Iguaçu;Paraná;85855-460;BR;Brazil;JuliaBarbosaSantos@jourrapide.com;7759;1.0;8;3;1;1;38;139;3;914;40;Email;1;PR;jourrapide.com
